,State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,ID,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
100,,,Akron ,,,,,,,,,,,793,41.07998585,-81.49865296,10.30400062,10.3007915,238681.9117,2275947.321,1945188.944,1742962.7,1539446.485,18.20776,15.15792,11.50314,11.8445,10.57929993
54,NM,Albuquerque,Albuquerque,3502000,545852,5.8,10.4,5.6,5.5,12.6,12.9,35.10550258,-106.6474477,196,35.12903763,-106.629162,10.68446422,11.74142146,685933.7471,4360883.874,3720008.117,3800903.991,3259877.555,8.652916,8.211202,6.974018,6.863455,10.98079967
82,AK,Anchorage,Anchorage,203000,291826,5.1,9.3,4.5,5,11.4,10.6,61.14986873,-149.1111134,183,61.19923392,-149.8314747,2.076172382,2.990822196,123089.786,377977.8228,334426.3583,382393.3222,349161.7627,5.862218,5.384438,4.634226,8.12634,9.129659653
62,GA,Atlanta,Atlanta,1304000,420003,4.8,9,5,5.7,12.2,11.1,33.76265247,-84.42314191,559,33.84096954,-84.30090571,17.14769793,17.22755289,1516952.499,12726624.75,12290679.71,14599934.15,12508803.31,19.79446,13.3116,10.70848,10.28025,18.74349976
35,TX,Austin,Austin,4805000,790390,4.3,8.3,3.9,4,11.4,9.4,30.30686103,-97.75547712,273,30.37163753,-97.73513149,20.25407124,20.95482636,1063620.667,4417962.777,4107195.344,5003949.553,4174130.503,15.14392,10.114128,8.038374,8.593885,15.35470009
73,CA,Bakersfield,Bakersfield,603526,347483,5,9.5,5.4,6.1,14,13.1,35.35133029,-119.029786,29,35.36381044,-119.0475354,17.97289371,19.10495472,533318.4537,3324191.095,3342471.181,3438174.395,2668842.282,16.6687,14.38446,12.76312,15.1119,4.478769779
41,MD,Baltimore,Baltimore,2404000,620961,5.5,12.3,6.4,7.2,13.9,12.3,39.3084524,-76.61604923,880,39.31155264,-76.61148208,13.35398746,13.17422318,1360858.298,15272624.37,13155469.29,11592406.32,9739341.257,19.01532,15.00314,11.72638,11.43635,6.844810009
93,LA,Baton Rouge,Baton Rouge,2205000,229493,5.2,9.4,6.4,6.8,14,12.8,30.45108917,-91.1263552,397,30.43326952,-91.10127215,20.25940323,20.75579023,270758.8464,7692179.905,11039201.13,10239254.39,5451820.644,18.20844,13.25904,10.246752,10.63165,23.91959953
117,,,Baton Rouge ,,,,,,,,,,,,,,,,,,,,,,,,,
96,AL,Birmingham,Birmingham,107000,212237,5.6,10.5,7.5,8.8,15.2,16.3,33.52756638,-86.79881747,486,33.50902518,-86.82365065,17.06690979,17.49764442,196387.767,2202561.192,1989846.723,1714411.25,1858031.765,19.38254,13.8868,10.625714,10.3269,20.21800041
123,,,Birmingham ,,,,,,,,,,,,,,,,,,,,,,,,,
42,MA,Boston,Boston,2507000,617594,4.5,11.4,4.6,5.1,13.9,10.5,42.31557968,-71.09165058,1022,42.38499617,-71.06303941,10.30256605,10.7555151,2063274.183,24637639.3,22116676.64,23176358.33,21858037.97,12.76518,10.7339,8.771842,9.085375,4.048449993
128,,,Boston ,,,,,,,,,,,,,,,,,,,,,,,,,
86,NY,Buffalo,Buffalo,3611000,261310,5.8,12.7,7.1,8.5,15.5,15.8,42.90145182,-78.84752373,890,42.9237412,-78.81130882,8.794063807,9.090383291,615835.9218,9772111.324,9625372.489,9312949.12,5282788.675,14.9821,12.28924,9.591696,10.30295,10.84090042
135,,,Buffalo ,,,,,,,,,,,,,,,,,,,,,,,,,
